UserID,subscriber_status,Gender,Race,email_flag,smh_flag,Age_brackets,Province,Channel,watch_date,dayname,monthname,watch_time,hour_of_day,day_classification,day_type,duration,screen_time
866623,Subscriber,male,other,1,1,Older Adult,Western Cape,CNN,2016-03-10,Thu,Mar,22:15:00,22,04. Evening,Weekday,00:11:32,Short
892936,Subscriber,male,black,1,1,Adult,Northern Cape,Africa Magic,2016-03-18,Fri,Mar,05:51:00,5,01. Late Night,Weekday,00:02:41,Short
892936,Subscriber,male,black,1,1,Adult,Northern Cape,Africa Magic,2016-01-27,Wed,Jan,05:21:00,5,01. Late Night,Weekday,00:00:13,Short
2406529,Subscriber,male,black,1,1,Adult,Northern Cape,Trace TV,2016-02-11,Thu,Feb,19:17:00,19,04. Evening,Weekday,00:21:06,Short
905127,Subscriber,male,white,1,1,Older Adult,Eastern Cape,Live Event,2016-03-24,Thu,Mar,11:07:00,11,02. Morning,Weekday,00:26:52,Short
820910,Subscriber,male,black,1,1,Adult,Mpumalanga,Trace TV,2016-01-06,Wed,Jan,16:11:00,16,03. Afternoon,Weekday,00:03:45,Short
789095,Subscriber,male,black,1,1,Adult,Free State,Boomerang,2016-03-01,Tue,Mar,11:57:00,11,02. Morning,Weekday,00:15:07,Short
832218,Subscriber,male,coloured,1,1,Older Adult,Western Cape,SuperSport Blitz,2016-03-28,Mon,Mar,11:35:00,11,02. Morning,Weekday,00:09:58,Short
803967,Subscriber,male,black,1,1,Older Adult,Kwazulu Natal,Live Event,2016-01-31,Sun,Jan,09:05:00,9,02. Morning,Weekend,00:02:00,Short
819562,Subscriber,male,coloured,1,1,Adult,Western Cape,Cartoon Network,2016-02-28,Sun,Feb,17:33:00,17,04. Evening,Weekend,00:00:39,Short
621695,Subscriber,female,Other,1,1,Adult,Western Cape,SuperSport Blitz,2016-01-13,Wed,Jan,09:02:00,9,02. Morning,Weekday,00:00:08,Short
2369134,Subscriber,male,indian_asian,1,1,Older Adult,Gauteng,Live Event,2016-03-06,Sun,Mar,14:47:00,14,03. Afternoon,Weekend,00:00:24,Short
930540,Subscriber,male,indian_asian,1,1,Adult,Western Cape,Trace TV,2016-03-31,Thu,Mar,20:06:00,20,04. Evening,Weekday,00:22:57,Short
789122,Subscriber,male,black,1,1,Adult,Eastern Cape,Channel O,2016-01-30,Sat,Jan,21:44:00,21,04. Evening,Weekend,00:01:18,Short
892659,Subscriber,male,black,1,1,Older Adult,North West,Cartoon Network,2016-03-21,Mon,Mar,17:56:00,17,04. Evening,Weekday,00:00:21,Short
940176,Subscriber,male,black,1,1,Adult,Eastern Cape,Live Event,2016-01-06,Wed,Jan,09:26:00,9,02. Morning,Weekday,00:10:38,Short
820978,Subscriber,male,black,1,1,Older Adult,Northern Cape,Africa Magic,2016-03-02,Wed,Mar,13:19:00,13,03. Afternoon,Weekday,00:00:58,Short
820978,Subscriber,male,black,1,1,Older Adult,Northern Cape,Boomerang,2016-03-25,Fri,Mar,17:50:00,17,04. Evening,Weekday,00:15:58,Short
772311,Subscriber,male,black,1,1,Adult,Mpumalanga,Channel O,2016-02-08,Mon,Feb,20:35:00,20,04. Evening,Weekday,00:01:36,Short
2369209,Subscriber,male,black,1,1,Teenage,Mpumalanga,Boomerang,2016-03-23,Wed,Mar,13:23:00,13,03. Afternoon,Weekday,00:00:59,Short
809463,Subscriber,male,black,1,1,Older Adult,Western Cape,CNN,2016-02-21,Sun,Feb,08:42:00,8,02. Morning,Weekend,00:00:42,Short
809465,Subscriber,male,Other,1,1,Adult,Gauteng,CNN,2016-02-02,Tue,Feb,07:38:00,7,02. Morning,Weekday,00:00:18,Short
809467,Subscriber,female,black,1,1,Older Adult,Western Cape,Boomerang,2016-02-25,Thu,Feb,06:43:00,6,02. Morning,Weekday,00:00:48,Short
789150,Subscriber,male,indian_asian,1,1,Adult,Kwazulu Natal,Entertainment,2016-02-19,Fri,Feb,00:37:00,0,01. Late Night,Weekday,00:04:08,Short
764912,Subscriber,male,Other,1,1,Adult,Kwazulu Natal,Entertainment,2016-01-03,Sun,Jan,14:54:00,14,03. Afternoon,Weekend,00:07:58,Short
2369221,Subscriber,male,black,1,1,Older Adult,North West,SuperSport Blitz,2016-02-16,Tue,Feb,07:22:00,7,02. Morning,Weekday,00:00:06,Short
893020,Subscriber,male,black,1,1,Adult,Gauteng,Channel O,2016-03-24,Thu,Mar,04:09:00,4,01. Late Night,Weekday,00:02:09,Short
2360384,Subscriber,male,black,1,1,Older Adult,Mpumalanga,SuperSport Blitz,2016-02-21,Sun,Feb,10:17:00,10,02. Morning,Weekend,00:05:58,Short
2415023,Subscriber,male,white,1,1,Adult,Free State,Vuzu,2016-03-23,Wed,Mar,20:25:00,20,04. Evening,Weekday,00:00:16,Short
2369252,Subscriber,male,indian_asian,1,1,Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-23,Wed,Mar,12:36:00,12,03. Afternoon,Weekday,00:00:00,Short
2203930,Subscriber,female,coloured,1,1,Older Adult,Western Cape,ICC Cricket World Cup 2011,2016-02-27,Sat,Feb,18:22:00,18,04. Evening,Weekend,00:00:50,Short
809511,Subscriber,female,coloured,1,1,Adult,Western Cape,Cartoon Network,2016-02-27,Sat,Feb,16:40:00,16,03. Afternoon,Weekend,00:02:06,Short
809516,Subscriber,female,black,1,1,Adult,Mpumalanga,Trace TV,2016-02-22,Mon,Feb,05:26:00,5,01. Late Night,Weekday,01:13:00,Long
789185,Subscriber,male,coloured,1,1,Adult,Western Cape,Live Event,2016-01-26,Tue,Jan,21:50:00,21,04. Evening,Weekday,00:42:08,Moderate
958175,Subscriber,male,white,1,1,Older Adult,Gauteng,Live Event,2016-03-25,Fri,Mar,07:37:00,7,02. Morning,Weekday,00:00:00,Short
821041,Subscriber,male,coloured,1,1,Older Adult,Eastern Cape,Trace TV,2016-02-18,Thu,Feb,10:34:00,10,02. Morning,Weekday,00:00:48,Short
789195,Subscriber,male,black,1,1,Adult,Mpumalanga,Live Event,2016-02-16,Tue,Feb,11:15:00,11,02. Morning,Weekday,00:00:22,Short
809528,Subscriber,male,white,1,1,Older Adult,Gauteng,Live Event,2016-03-26,Sat,Mar,18:41:00,18,04. Evening,Weekend,00:00:14,Short
750715,Subscriber,male,coloured,1,1,Adult,Western Cape,Vuzu,2016-01-16,Sat,Jan,05:10:00,5,01. Late Night,Weekend,00:00:45,Short
893061,Subscriber,male,black,1,1,Adult,Gauteng,Boomerang,2016-03-19,Sat,Mar,08:33:00,8,02. Morning,Weekend,00:00:14,Short
789201,Subscriber,male,black,1,1,Older Adult,Limpopo,Live Event,2016-02-02,Tue,Feb,17:28:00,17,04. Evening,Weekday,00:14:20,Short
789201,Subscriber,male,black,1,1,Older Adult,Limpopo,SuperSport Blitz,2016-02-06,Sat,Feb,06:07:00,6,02. Morning,Weekend,00:01:28,Short
860018,Subscriber,male,indian_asian,1,1,Older Adult,Eastern Cape,ICC Cricket World Cup 2011,2016-03-26,Sat,Mar,10:14:00,10,02. Morning,Weekend,02:00:28,Long
809538,Subscriber,male,indian_asian,1,1,Adult,Kwazulu Natal,Cartoon Network,2016-03-14,Mon,Mar,10:07:00,10,02. Morning,Weekday,00:22:18,Short
809552,Subscriber,male,black,1,1,Adult,Gauteng,Vuzu,2016-02-15,Mon,Feb,23:59:00,23,04. Evening,Weekday,00:01:39,Short
2091055,Subscriber,male,black,1,1,Older Adult,Limpopo,Trace TV,2016-01-18,Mon,Jan,04:12:00,4,01. Late Night,Weekday,00:18:42,Short
809556,Subscriber,male,coloured,1,1,Older Adult,Mpumalanga,Africa Magic,2016-02-23,Tue,Feb,13:00:00,13,03. Afternoon,Weekday,00:00:19,Short
2287393,Subscriber,male,black,1,1,Older Adult,Kwazulu Natal,Cartoon Network,2016-03-23,Wed,Mar,08:36:00,8,02. Morning,Weekday,00:00:31,Short
809573,Subscriber,male,coloured,1,1,Adult,Western Cape,ICC Cricket World Cup 2011,2016-02-24,Wed,Feb,12:26:00,12,03. Afternoon,Weekday,00:04:06,Short
905533,Subscriber,male,indian_asian,1,1,Adult,Free State,Cartoon Network,2016-03-26,Sat,Mar,05:09:00,5,01. Late Night,Weekend,00:00:42,Short
802693,Subscriber,male,Other,1,1,Older Adult,Western Cape,Trace TV,2016-02-19,Fri,Feb,20:48:00,20,04. Evening,Weekday,00:02:30,Short
821106,Subscriber,male,white,1,1,Adult,Gauteng,Live Event,2016-01-16,Sat,Jan,14:54:00,14,03. Afternoon,Weekend,00:13:42,Short
791773,Subscriber,male,other,1,1,Adult,Kwazulu Natal,Live Event,2016-01-26,Tue,Jan,11:13:00,11,02. Morning,Weekday,00:02:20,Short
2360510,Subscriber,male,indian_asian,1,1,Older Adult,Gauteng,CNN,2016-03-25,Fri,Mar,19:55:00,19,04. Evening,Weekday,00:01:39,Short
893105,Subscriber,male,white,1,1,Older Adult,Western Cape,SuperSport Blitz,2016-03-08,Tue,Mar,22:22:00,22,04. Evening,Weekday,00:01:18,Short
2204045,Subscriber,male,white,1,1,Adult,North West,kykNET,2016-03-28,Mon,Mar,17:11:00,17,04. Evening,Weekday,00:09:57,Short
